,AOU,scientific_name,common_name
458,6296,Vireo plumbeus / cassinii,unid. Plumbeous Vireo / Cassin's Vireo
459,6260,Vireo philadelphicus,Philadelphia Vireo
460,6270,Vireo gilvus,Warbling Vireo
461,6240,Vireo olivaceus,Red-eyed Vireo
462,6230,Vireo altiloquus,Black-whiskered Vireo
463,4840,Perisoreus canadensis,Canada Jay
464,4830,Cyanocorax yncas,Green Jay
465,4920,Gymnorhinus cyanocephalus,Pinyon Jay
466,4780,Cyanocitta stelleri,Steller's Jay
467,4770,Cyanocitta cristata,Blue Jay
468,4790,Aphelocoma coerulescens,Florida Scrub-Jay
469,4811,Aphelocoma insularis,Island Scrub-Jay
470,4812,Aphelocoma californica,California Scrub-Jay
471,4813,Aphelocoma woodhouseii,Woodhouse's Scrub-Jay
472,4810,Aphelocoma californica / woodhouseii,unid. California Scrub-Jay / Woodhouse's Scrub-Ja
473,4820,Aphelocoma wollweberi,Mexican Jay
474,4910,Nucifraga columbiana,Clark's Nutcracker
475,4750,Pica hudsonia,Black-billed Magpie
476,4760,Pica nuttalli,Yellow-billed Magpie
477,4880,Corvus brachyrhynchos,American Crow
478,4890,Corvus caurinus,Northwestern Crow
479,4900,Corvus ossifragus,Fish Crow
480,4881,Corvus brachyrhynchos / ossifragus,unid. American Crow / Fish Crow
481,4882,Corvus brachyrhynchos / caurinus,unid. American Crow / Northwestern Crow
482,4870,Corvus cryptoleucus,Chihuahuan Raven
483,4860,Corvus corax,Common Raven
484,4865,Corvus cryptoleucus / corax,unid. Chihuahuan Raven / Common Raven
485,4730,Alauda arvensis,Eurasian Skylark
486,4740,Eremophila alpestris,Horned Lark
487,6160,Riparia riparia,Bank Swallow
488,6140,Tachycineta bicolor,Tree Swallow
489,6150,Tachycineta thalassina,Violet-green Swallow
490,6170,Stelgidopteryx serripennis,Northern Rough-winged Swallow
491,6110,Progne subis,Purple Martin
492,6130,Hirundo rustica,Barn Swallow
493,6120,Petrochelidon pyrrhonota,Cliff Swallow
494,6121,Petrochelidon fulva,Cave Swallow
495,6122,Petrochelidon pyrrhonota / fulva,unid. Cave Swallow / Cliff Swallow
496,7360,Poecile carolinensis,Carolina Chickadee
497,7350,Poecile atricapillus,Black-capped Chickadee
498,7380,Poecile gambeli,Mountain Chickadee
499,7370,Poecile sclateri,Mexican Chickadee
500,7410,Poecile rufescens,Chestnut-backed Chickadee
501,7400,Poecile hudsonicus,Boreal Chickadee
502,7352,Poecile carolinensis / atricapillus,unid. Carolina Chickadee / Black-capped Chickadee
503,7353,Poecile atricapillus / gambeli,unid. Black-capped Chickadee / Mountain Chickadee
504,7354,Poecile atricapillus / hudsonicus,unid. Black-capped Chickadee / Boreal Chickadee
505,7351,Poecile sp.,unid. western chickadee species
506,7340,Baeolophus wollweberi,Bridled Titmouse
507,7330,Baeolophus inornatus,Oak Titmouse
508,7331,Baeolophus ridgwayi,Juniper Titmouse
509,7332,Baeolophus inornatus / ridgwayi,unid. Oak Titmouse / Juniper Titmouse
510,7310,Baeolophus bicolor,Tufted Titmouse
511,7320,Baeolophus atricristatus,Black-crested Titmouse
512,7315,Baeolophus bicolor / atricristatus,unid. Tufted Titmouse / Black-crested Titmouse
513,7460,Auriparus flaviceps,Verdin
514,7430,Psaltriparus minimus,Bushtit
515,7280,Sitta canadensis,Red-breasted Nuthatch
516,7270,Sitta carolinensis,White-breasted Nuthatch
517,7300,Sitta pygmaea,Pygmy Nuthatch
